Issue_time,Forecast_time,Coast,East,Far_West,North_Central,North,South_Central,Southern,West
2018-12-09 06:00:00,2018-12-09 12:00:00,11409.203125,1842.395751953125,3067.648193359375,15219.1982421875,1164.6796875,7598.83544921875,3587.81640625,1717.47705078125
2018-12-09 06:00:00,2018-12-09 13:00:00,11699.4326171875,1886.74169921875,3026.25634765625,15209.00390625,1187.550537109375,7677.595703125,3773.879150390625,1669.7176513671875
2018-12-09 06:00:00,2018-12-09 14:00:00,12070.9169921875,1897.665771484375,3219.859375,15125.546875,1164.7747802734375,7486.2255859375,3878.96435546875,1661.037109375
2018-12-09 06:00:00,2018-12-09 15:00:00,11934.76953125,1812.7293701171875,2952.480224609375,14723.6044921875,1184.9708251953125,7148.740234375,3814.789306640625,1589.5023193359375
2018-12-09 06:00:00,2018-12-09 16:00:00,11377.1337890625,1794.26416015625,2978.6455078125,14197.419921875,1134.716796875,6857.3212890625,3732.33984375,1487.26904296875
2018-12-09 06:00:00,2018-12-09 17:00:00,11010.5224609375,1682.33935546875,3057.2314453125,13328.828125,1039.1981201171875,6542.63623046875,3518.685302734375,1445.2794189453125
2018-12-09 12:00:00,2018-12-09 18:00:00,11071.384765625,1733.0718994140625,2973.4775390625,13953.4228515625,1001.4418334960938,6542.4853515625,3058.27392578125,1420.835205078125
2018-12-09 12:00:00,2018-12-09 19:00:00,10999.4765625,1745.4498291015625,2916.509521484375,13698.5859375,1036.5797119140625,6437.1279296875,3195.2392578125,1352.0172119140625
2018-12-09 12:00:00,2018-12-09 20:00:00,11124.677734375,1728.5667724609375,3147.246826171875,13364.3369140625,980.5634155273438,6233.84375,3204.14599609375,1383.4993896484375
2018-12-09 12:00:00,2018-12-09 21:00:00,11232.0546875,1729.1300048828125,2956.606689453125,13758.8447265625,1026.83935546875,6347.29345703125,3261.81787109375,1368.5291748046875
2018-12-09 12:00:00,2018-12-09 22:00:00,11050.2236328125,1837.949462890625,2985.39111328125,14004.13671875,1031.326416015625,6684.5654296875,3384.283935546875,1412.9732666015625
2018-12-09 12:00:00,2018-12-09 23:00:00,11245.45703125,1851.8077392578125,3138.580322265625,14450.1259765625,1026.7220458984375,7066.5498046875,3488.4169921875,1523.0458984375
2018-12-09 18:00:00,2018-12-10 00:00:00,11986.1083984375,1889.1439208984375,3007.541015625,15080.8017578125,1163.8004150390625,7491.35302734375,3467.962646484375,1551.4559326171875
2018-12-09 18:00:00,2018-12-10 01:00:00,11668.9208984375,1818.3629150390625,3047.1328125,14644.46875,1141.647705078125,7449.05029296875,3556.4296875,1561.3746337890625
2018-12-09 18:00:00,2018-12-10 02:00:00,11413.0517578125,1772.1175537109375,3144.774658203125,14143.658203125,1097.7244873046875,7222.76806640625,3580.516845703125,1528.2490234375
2018-12-09 18:00:00,2018-12-10 03:00:00,11105.8896484375,1690.3897705078125,2898.899658203125,13519.7255859375,1061.6729736328125,6845.70849609375,3459.09814453125,1449.0341796875
2018-12-09 18:00:00,2018-12-10 04:00:00,10259.37109375,1599.3359375,2888.170654296875,13091.220703125,1002.1060180664062,6504.97021484375,3356.308837890625,1454.09814453125
2018-12-09 18:00:00,2018-12-10 05:00:00,10198.7138671875,1582.9012451171875,3093.38330078125,13440.021484375,1031.63671875,6407.53076171875,3273.42724609375,1432.3031005859375
2018-12-10 00:00:00,2018-12-10 06:00:00,10400.1669921875,1532.18359375,3008.688720703125,12799.9306640625,1002.5856323242188,6349.30419921875,3044.4921875,1445.7022705078125
2018-12-10 00:00:00,2018-12-10 07:00:00,10336.5166015625,1584.7694091796875,2988.95556640625,12701.88671875,1032.514404296875,6316.2197265625,3177.46142578125,1381.6448974609375
2018-12-10 00:00:00,2018-12-10 08:00:00,10763.2431640625,1651.9036865234375,3095.642822265625,12678.19921875,1061.5098876953125,6344.54248046875,3306.1708984375,1416.02001953125
2018-12-10 00:00:00,2018-12-10 09:00:00,11037.6650390625,1741.44482421875,2949.39013671875,13287.9091796875,1091.1397705078125,6560.08740234375,3410.804443359375,1478.7105712890625
2018-12-10 00:00:00,2018-12-10 10:00:00,11065.904296875,1829.5701904296875,2986.50390625,14166.099609375,1099.76953125,6835.28076171875,3557.860107421875,1553.5570068359375
2018-12-10 00:00:00,2018-12-10 11:00:00,11487.58984375,1897.3004150390625,3173.4482421875,15078.85546875,1179.46826171875,7259.08154296875,3656.117919921875,1642.631591796875
2018-12-10 06:00:00,2018-12-10 12:00:00,11983.1123046875,2044.201904296875,3174.06689453125,16156.08203125,1151.4696044921875,8051.96923828125,3746.3662109375,1709.564208984375
2018-12-10 06:00:00,2018-12-10 13:00:00,11961.158203125,2056.4375,3143.572265625,15943.8740234375,1138.6376953125,7861.7763671875,3921.191162109375,1683.188720703125
2018-12-10 06:00:00,2018-12-10 14:00:00,12113.0283203125,1999.2484130859375,3296.5009765625,15630.5947265625,1094.63037109375,7461.48193359375,3937.670654296875,1573.3121337890625
2018-12-10 06:00:00,2018-12-10 15:00:00,11881.091796875,1891.4873046875,2977.654296875,14706.314453125,1067.39599609375,7146.263671875,3788.472900390625,1531.5889892578125
2018-12-10 06:00:00,2018-12-10 16:00:00,11232.0478515625,1822.0692138671875,2995.26806640625,13678.6435546875,993.384521484375,6810.0390625,3653.3369140625,1364.61083984375
2018-12-10 06:00:00,2018-12-10 17:00:00,10848.328125,1672.8812255859375,3018.9453125,12956.013671875,981.6154174804688,6494.65478515625,3388.822265625,1369.01171875
2018-12-10 12:00:00,2018-12-10 18:00:00,11184.7978515625,1648.4739990234375,2958.044921875,12757.8564453125,938.4367065429688,6347.73876953125,3059.094970703125,1286.824951171875
2018-12-10 12:00:00,2018-12-10 19:00:00,11152.5810546875,1649.8060302734375,2857.289306640625,12270.009765625,962.2174682617188,6190.59130859375,3165.033447265625,1273.66162109375
2018-12-10 12:00:00,2018-12-10 20:00:00,11116.1015625,1644.8463134765625,3099.353515625,11969.55078125,907.339111328125,6098.55859375,3187.768798828125,1260.3759765625
2018-12-10 12:00:00,2018-12-10 21:00:00,11417.6630859375,1686.8936767578125,2940.86962890625,12317.0390625,910.8449096679688,6288.44921875,3274.951416015625,1290.1719970703125
2018-12-10 12:00:00,2018-12-10 22:00:00,11312.1533203125,1800.571044921875,3004.170654296875,13095.994140625,939.1883544921875,6618.8310546875,3439.557861328125,1356.0517578125
